BERRY GLOBAL GROUP BERY,BERY
BEST BUY INC BBY,BBY
BLOCK H & R INC HRB,HRB
BLUE BUFFALO PET PROD BUFF,BUFF
BOEING CO BA,BA
BOK FINANCIAL CORP BOKF,BOKF
BOOZ ALLEN HAMILTON HLDG BAH,BAH
BORG WARNER INC BWA,BWA
BOSTON PROPERTIES INC BXP,BXP
BOSTON SCIENTIFIC CO BSX,BSX
BRIGHT HORIZON FAMILY BFAM,BFAM
BRISTOL MYERS SQUIBB BMY,BMY
BRIXMOR PROPERTY GROUP BRX,BRX
BROADCOM LIMITED AVGO,AVGO
BROADRIDGE FINANCIAL INC BR,BR
BROCADE COMMUNICATIONS BRCD,BRCD
BROOKDALE SENIOR LIVING BKD,BKD
BROWN & BROWN INC BRO,BRO
BROWN FORMAN CORP CL A BF.A,BF.A
BROWN FORMAN CORP CL B BF.B,BF.B
BRUKER CORP BRKR,BRKR
BRUNSWICK CORP BC,BC
BUNGE LIMITED BG,BG
BURLINGTON STORES INC BURL,BURL
BWX TECHNOLOGIES INC BWXT,BWXT
C H ROBINSON WORLDWIDE CHRW,CHRW
CA INC CA,CA
CABELAS INC CAB,CAB
CABLE ONE INC CABO,CABO
CABOT CORP CBT,CBT
CABOT OIL & GAS CORP COG,COG
CADENCE DESIGN SYSTEMS CDNS,CDNS
CALATLANTIC GROUP INC CAA,CAA
CALPINE CORP CPN,CPN
CAMDEN PROPERTY TRUST CPT,CPT
CAMPBELL SOUP CO CPB,CPB
CAPITAL ONE FINANCIAL COF,COF
CARDINAL HEALTH INC CAH,CAH
CARLISLE COS INC CSL,CSL
CARMAX INC KMX,KMX
CARNIVAL CORP CCL,CCL
CARTER INC CRI,CRI
CASEYS GENERAL STORES CASY,CASY
CATERPILLAR INC CAT,CAT
CAVIUM INC CAVM,CAVM
CBOE HLDGS INC CBOE,CBOE
CBRE GROUP INC CBG,CBG
CBS CORPORATION CBS,CBS
CDK GLOBAL INC CDK,CDK
CDW CORPORATION CDW,CDW
CELANESE CORP CE,CE
CELGENE CORP CELG,CELG
CENTENE CORP CNC,CNC
CENTENNIAL RESOURCE DEV CDEV,CDEV
CENTERPOINT ENERGY INC CNP,CNP
CENTURYLINK INC CTL,CTL
CERNER CORP CERN,CERN
CF INDUSTRIES HOLDINGS CF,CF
BRANDYWINE REALTY TRUST BDN,BDN
CHARTER COMM INC CHTR,CHTR
CHENIERE ENERGY INC LNG,LNG
CHESAPEAKE ENERGY CORP CHK,CHK
CHEVRON CORP CVX,CVX
CHIMERA INVESTMENT CORP CIM,CIM
CHIPOTLE MEXICAN GRILL CMG,CMG
CHOICE HOTELS INTL INC CHH,CHH
CHUBB LIMITED CB,CB
CHURCH & DWIGHT INC CHD,CHD
CIGNA CORP CI,CI
CIMAREX ENERGY CO XEC,XEC
CINCINNATI FINANCIAL CINF,CINF
CINEMARK HOLDINGS INC CNK,CNK
CINTAS CORP CTAS,CTAS
CISCO SYSTEMS INC CSCO,CSCO
CIT GROUP INC CIT,CIT
CITIGROUP INC C,C
CITIZENS FINANCIAL INC CFG,CFG
CITRIX SYSTEMS INC CTXS,CTXS
CLEAN HARBORS INC CLH,CLH
CLOROX CO CLX,CLX
CME GROUP INC CME,CME
CMS ENERGY CORP CMS,CMS
CNA FINANCIAL CORP CNA,CNA
COACH INC COH,COH
COCA COLA CO KO,KO
COGNEX CORP CGNX,CGNX
COGNIZANT TECH SOLUTIONS CTSH,CTSH
COHERENT INC COHR,COHR
COLFAX CORP CFX,CFX
COLGATE PALMOLIVE CO CL,CL
COLONY NORTHSTAR INC CLNS,CLNS
COLUMBIA PPTY TR INC CXP,CXP
COMCAST CORP CL A CMCSA,CMCSA
COMERICA INC CMA,CMA
COMMERCE BANCSHARES INC CBSH,CBSH
COMMSCOPE HOLDING CO COMM,COMM
CONAGRA BRANDS INC CAG,CAG
CONCHO RESOURCES INC CXO,CXO
CONDUENT INC CNDT,CNDT
CONOCOPHILLIPS COP,COP
CONSOL ENERGY INC CNX,CNX
CONSOLIDATED EDISON INC ED,ED
CONSTELLATION BRANDS STZ,STZ
CONTINENTAL RESOURCES CLR,CLR
COOPER COMPANIES INC COO,COO
COPA HOLDINGS SA CPA,CPA
CHARLES RIVER LABS INTL CRL,CRL
CORELOGIC INC CLGX,CLGX
CORESITE REALTY CORP COR,COR
CORNING INC GLW,GLW
CORPORATE OFFICE PPTYS OFC,OFC
COSTAR GROUP INC CSGP,CSGP
